"Designator","Footprint","Quantity","Value","LCSC Part #"
"C1, C10","0402","2","1uF","C52923"
"C11, C12, C17, C2, C3, C4, C5, C6, C7, C8, C9","0402","11","0.1uF","C1525"
"C13, C14, C18","0603","3","10uF","C96446"
"C15, C16","0402","2","33pF","C1562"
"C19, C21, C22, C24, C25","0402","5","100nF","C1525"
"C20","0805","1","22uF","C1804"
"C23","CP_EIA-7343-31_Kemet-D","1","100uF","C7469933"
"D1, D2","D_SMA","2","SS14","C2480"
"J1","USB_C_Receptacle_HRO_TYPE-C-31-M-12","1","USB_C_Receptacle_USB2.0_14P","C165948"
"J2, J3","PinHeader_1x20_P2.54mm_Vertical","2","Conn_01x20",""
"J5","BarrelJack_CUI_PJ-102AH_Horizontal","1","Barrel_Jack_Switch","C3096093"
"J6","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","1","Motor A","C5188434"
"J7","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","1","Motor B","C5188434"
"L1","0805","1","4.7uH","C48945383"
"R1, R2","0402","2","5.1K","C25905"
"R3, R4","0402","2","27","C25156"
"R5, R7","0402","2","1K","C11702"
"R6","0402","1","10K","C25744"
"SW1","SW_Push_SPST_NO_Alps_SKRK","1","SW_Push","C115357"
"U1","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","1","RP2040","C2040"
"U3","Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm","1","W25Q16JVZPIQ TR","C2843335"
"U4","TSOT-23-6","1","AP63203WU","C780769"
"U5","SSOP-24_5.3x8.2mm_P0.65mm","1","TB6612FNG","C88224"
"U6","SOT-23","1","MCP1700x-330xxTT","C39051"
"Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm","1","12 MHz","C9002"
